Net Revenue,LEAD_STATUS,RGN_NAME,MKT_UNIT,LOC_NAME,DIV_NAME,NUM_UNITS,BU_NAME,RATING,FF_YRS_IN_BUS_CD,PRE_OPEN,CHAIN,CITY_CE,COUNTY_CE,STATE_CE,ZIP_CE,LATITUDE,LONGITUDE,FOUNTAIN_FLAG,Prestige account,Prestige Account Name,CITY,COUNTY,STATE,ZIP
4906.26,0,5409.862755,7459.802928,6648.993659000001,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6470.009638,6977.851895999999,5174.348076,6507.423261,36.7594499,-120.3857991,1,0,,MENDOTA,Fresno,CA,93640
604.0,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,1,6556.890311,0,6102.208892000001,0,0,6474.081115999999,6425.807282,5899.296011,6474.081115999999,43.8250752,-115.8335111,1,0,,IDAHO CITY,Boise,ID,83631
1696.54,0,6798.068420999999,7302.851048,7973.949970999999,5998.469353,1,6344.897185,4.5,6456.673755,0,0,6619.419965,7193.208893000001,9159.69895,6463.951075999999,40.76740646,-111.9042969,0,1,Park City,SALT LAKE CTY,Salt lake,UT,84101
8077.7,0,7461.945589,10297.04826,7653.110049,8429.882068,4,6556.890311,0,6456.673755,0,1,6223.309651,6579.479865,10683.58233,6639.023103,38.96981812,-92.30543518,1,1,University of Missouri,COLUMBIA,BOONE,MO,65202
11465.95,0,6798.068420999999,7591.294137999999,7037.7489780000005,5998.469353,1,6344.897185,0,7228.420638,0,0,6547.208570000001,7036.227183,7241.238731,6563.692403,33.6982237,-111.8928914,0,1,Chase Field,SCOTTSDALE,Maricopa,AZ,85255
1577.79,0,6798.068420999999,6430.99364,5708.920048,5998.469353,1,6291.667888,4,6102.208892000001,0,0,6497.901941,6194.57651,7497.67897,6497.901941,45.8660278,-122.8844914,0,0,,SAINT HELENS,Columbia,OR,97051
1616.88,0,6798.068420999999,6430.99364,5708.920048,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6488.119766,6393.6639829999995,7497.67897,6491.709994,45.3971847,-122.2682745,1,0,,SANDY,Clackamas,OR,97055
11840.25,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6561.800258,6677.732079,7043.0101859999995,6561.800258,32.4353725,-100.5346653,1,0,,ROSCOE,Nolan,TX,79545
705.75,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6469.42369,6469.42369,5394.8608509999995,6469.42369,31.99251348,-83.30706817,1,0,,ABBEVILLE,Wilcox,GA,31001
1770.93,0,7461.945589,4856.990025,5607.3550829999995,8429.882068,2,6344.897185,3.5,6102.208892000001,0,1,6546.1583439999995,6377.558199,6769.636231,6483.234086,41.3941678,-89.465503,0,0,,PRINCETON,Bureau,IL,61356
3075.82,0,8272.590035,5910.694188,6045.664853,6249.421725,1,6556.890311,3,7228.420638,0,0,6375.513917,6339.59957,6847.4155040000005,6434.442299,42.6158194,-83.9637002,1,1,Shenandoah Country Club,HOWELL,Livingston,MI,48843
6536.57,0,5409.862755,7302.851048,6454.455976,5998.469353,5,6556.890311,0,6102.208892000001,0,1,6421.547985,6519.215457,6058.118024,6518.775876,36.130698,-115.1952128,1,1,Caesar's Palace,LAS VEGAS,Clark,NV,89102
776.25,0,5423.024702000001,5138.591952000001,6412.456342,5214.338214,3,6556.890311,0,6456.673755,0,1,6473.283426,6862.494275,5201.887175,6473.283426,30.45075226,-82.93241119,1,0,,Jasper,HAMILTON,FL,32052
459.64,0,7461.945589,5075.67538,6217.3474320000005,8429.882068,1,6556.890311,0,6102.208892000001,0,0,6301.6095159999995,6396.687540999999,5790.989605,6339.5845770000005,45.47388458,-98.4548111,1,0,,ABERDEEN,Brown,SD,57401
2222.65,0,5544.12736,6439.48451,7414.180754999999,5214.338214,1,6556.890311,0,6102.208892000001,0,0,6578.73019,6384.615334,5816.8127810000005,6578.73019,36.378918,-84.120816,1,0,,LA FOLLETTE,Campbell,TN,37766
7432.88,0,7461.945589,12155.34183,10118.00789,8429.882068,2,6556.890311,0,7228.420638,0,1,6622.143975,6659.183716,10683.58233,6487.304046,38.502642,-90.298058,1,0,,SAINT LOUIS,Saint Louis,MO,63125
16221.57,0,8272.590035,12092.1813,10673.20224,6249.421725,6,6556.890311,0,6456.673755,0,1,7546.808523000001,8291.052287999999,11741.65518,7046.391228,40.0558057,-85.652358,1,0,,ANDERSON,MADISON,IN,46013
150.0,0,4245.9674270000005,6058.753734000001,7360.710577,6249.421725,1,6556.890311,0,6102.208892000001,0,0,6488.61963,6467.782601,5338.747647,6488.61963,40.8807851,-74.144657,1,1,Metlife Stadium,CLIFTON,Passaic,NJ,7011
12302.4,0,7865.829603,8194.856165000001,7733.021045999999,8429.882068,6,6556.890311,0,6102.208892000001,0,1,6543.807974,6588.055811,7043.0101859999995,6593.469169,32.9434433,-99.78924561,1,0,,STAMFORD,Jones,TX,79553
8629.84,0,7865.829603,12984.99724,10403.56455,8429.882068,1,6556.890311,0,6102.208892000001,0,0,6565.451043,6565.451043,13091.42764,6565.451043,35.5100318,-97.9727056,1,0,,EL RENO,Canadian,OK,73036
1413.5,0,5544.12736,6439.48451,6327.683647999999,5214.338214,1,6556.890311,0,6102.208892000001,0,0,6335.500846,6344.673957,5816.8127810000005,6422.863164,35.5025644,-86.0859055,1,0,,MANCHESTER,Coffee,TN,37355
5310.05,0,5409.862755,7302.851048,6533.851995,5998.469353,1,6556.890311,5,6978.113877,0,0,6483.004765,6572.6913509999995,7241.238731,6469.676922,34.4977737,-114.2834947,1,0,,LK HAVASU CTY,Mohave,AZ,86406
5653.87,0,6798.068420999999,7302.851048,7973.949970999999,5998.469353,5,6556.890311,0,6102.208892000001,0,1,6619.419965,7193.208893000001,9159.69895,6503.048971,40.6539991,-111.8659412,1,1,Park City,SALT LAKE CTY,Salt lake,UT,84117
658.35,0,7461.945589,4281.759279999999,5703.778215,8429.882068,1,6556.890311,0,6978.113877,0,0,6244.308375,6298.926917,4530.297843,6472.124845,43.089342,-88.047109,1,1,Potawatomi Casino,MILWAUKEE,Milwaukee,WI,53222
10539.17,0,8272.590035,4856.990025,6658.073691,8429.882068,1,6556.890311,0,6102.208892000001,0,0,6272.3095299999995,6535.132865,6769.636231,6593.02039,40.6415948,-88.7929313,1,0,,LEXINGTON,Mclean,IL,61753
3154.89,0,7461.945589,4281.759279999999,5910.558625,8429.882068,1,6556.890311,0,7228.420638,0,0,6478.7567899999995,6517.845713000001,5151.664364,6494.642931,45.157373,-93.6654757,1,0,,HANOVER,Wright,MN,55341
2437.75,0,8272.590035,6176.347464,6458.997907,6249.421725,1,6556.890311,0,6102.208892000001,0,0,6498.613107,6555.137812,5019.174027,6498.613107,40.7917806,-77.8653109,1,0,,STATE COLLEGE,Centre,PA,16801
6140.26,0,8272.590035,5939.386818,6299.506042,6249.421725,1,6556.890311,0,6102.208892000001,0,0,6564.783242,6569.393836,5678.593723,6446.117689,41.4096937,-82.7258208,1,0,,SANDUSKY,Erie,OH,44870
19572.76,0,7461.945589,10297.04826,10297.97698,8429.882068,6,6556.890311,1,6456.673755,0,1,8951.424890999999,9002.439583,10683.58233,7604.700123999999,39.783291,-94.850015,1,0,,SAINT JOSEPH,Buchanan,MO,64505
4742.73,0,7461.945589,6136.680429999999,6648.993659000001,5998.469353,6,6556.890311,0,6102.208892000001,0,1,6451.622033,6422.758049,5560.1332219999995,6500.089994,35.1097642,-92.087919,1,0,,EL PASO,White,AR,72045
1729.21,0,5423.024702000001,7432.699823000001,6408.650933,5214.338214,1,6556.890311,0,7228.420638,0,0,6438.152903,6408.650933,6408.650933,6487.387651,35.215375,-81.166832,1,0,,GASTONIA,Gaston,NC,28056
3529.99,0,6798.068420999999,7302.851048,7973.949970999999,5998.469353,1,6556.890311,0,6102.208892000001,0,0,6619.419965,7193.208893000001,9159.69895,6445.151465,40.7413437,-111.8310835,1,1,Park City,SALT LAKE CTY,Salt lake,UT,84108
15375.38,0,5409.862755,7459.802928,7347.41493,5998.469353,5,6556.890311,0,6102.208892000001,0,1,7696.776417,7227.638329,5174.348076,6713.081939,35.40539551,-118.9670792,1,0,,BAKERSFIELD,Kern,CA,93306
10917.55,0,5423.024702000001,5138.591952000001,6412.456342,5214.338214,3,6556.890311,0,6102.208892000001,0,1,6581.306364,6643.201847,5201.887175,6581.306364,30.12856,-83.293192,1,0,,MAYO,Lafayette,FL,32066
33537.71,0,7865.829603,12984.99724,10403.56455,8429.882068,4,6556.890311,5,6978.113877,0,1,6811.798376999999,6935.724623,13091.42764,6811.798376999999,35.6813634,-97.0546168,1,0,,WELLSTON,Lincoln,OK,74881
